doi,year,author,title,citationCount,layer,rationale
10.1007/bf00580386,1930,Abolins (Riga),Die Regeneration der am Fibularrande verstümmelten Beine bei Triton cristatus Laur,3,Layer 1,"Modern citation engages same genus (triton): ""Die Regeneration der am Tibialrande oder median verst�mmelten Beine bei Triton c"""
10.1007/bf00580387,1930,Burchhardt,Regeneration und Symmetrie durch den Urodelenk�rper esteckter Gliedmassen,2,Layer 1,"Modern citation engages same genus (triton): ""Die Regeneration der am Tibialrande oder median verst�mmelten Beine bei Triton c"""
10.1007/bf00580388,1930,Flat-Hauser Przibram,Regeneration der langen Knochen nach teilweiser Entfernung im Innern der Molchextremit�ten (Triton cristatus Laur.),5,Layer 1,"Modern citation engages same genus (triton): ""Die Regeneration der am Fibularrande verstümmelten Beine bei Triton cristatus La"""
10.1007/bf00580389,1930,Przibram,"Wachstumsmessungen an Tenodera aridifolia Stoll., einer japanischen Fangheuschrecke",7,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf00580390,1930,Przibram Brecher,Wachstumsmessungen an Sphodromantis bioculata Burm. IV. Zunahme der Facettengr�sse und -Anzahl.,5,Layer 2,"Same broader taxon (Orthoptera / Mantis); different species. Citing: ""Orientation Behavior with and Without Visual Cues in Newly Hatched and Adult Pra"""
10.1007/bf00580391,1930,"Sciacchitano, Weiss, Przibram",Die Regeneration der am Tibialrande oder median verst�mmelten Beine bei Triton cristatus Laur. und eine Heteromorphose des langen Knochens nach Ausschneidung des Fibularrandes,1,Layer 3,"Same phenomenon (Regeneration); different species and design. Citing: ""Regeneration of Vertebrate Appendages"""
10.1007/bf00580392,1930,Staudinger,Heteromorphosen an Stigmen und anderen Gebilden bei Carausius (Dixippus) morosus Brunner,1,Layer 2,"Same broader taxon (Orthoptera / Mantis); different species. Citing: ""Modalit�s de formation et de d�veloppement d'un centre morphog�n�tique surnum�ra"""
10.1007/bf00580393,1930,Weiss,Potenzpr�fung am Regenerationsblastem.,13,Layer 2,"Same broader taxon (Reptilia); different species. Citing: ""Reactive nitrogen species-mediated cell proliferation during tail regeneration a"""
10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,34,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02079102,1927,Weiss,Die Herkunft der Haut im Extremitätenregenerat,16,Layer 3,"Same phenomenon (Regeneration); different species and design. Citing: ""Über die Rolle des Epithels in den anfänglichen Entwicklungsstadien einer Regene"""
10.1007/bf02080952,1927,Weiss,Potenzprüfung am Regenerationsblastem,30,Layer 3,"Same phenomenon (Regeneration); different species and design. Citing: ""Inducing Vertebrate Limb Regeneration: A Review of Past Advances and Future Outl"""
10.1007/bf02093760,1922,de Hahn,Die Körpertemperatur junger Wanderratten (Mus decumanus) und ihre Beeinflussung durch die Temperatur der Außenwelt,12,Layer 2,"Same broader taxon (Mammals); different species. Citing: ""The Post‐natal Development of the Genital Organs in the Albino Rat"""
10.1007/bf02093761,1922,Bierens de Haan; Przibram,Erniedrigung der Körpertemperatur junger Wanderratten (Mus decumanus) durch chemische Mittel und ihr Einfluß auf die Schwanzlänge,4,Layer 2,"Same broader taxon (Mammals); different species. Citing: ""Note on the Temperature of the Sloth"""
10.1007/bf02093762,1922,Brecher,"Die Puppenfärbungen des Kohlweißlings, Pieris brassicae L",7,Layer 1,"Modern citation engages same genus (pieris): ""Die Puppenfärbungen des Kohlweißlings, Pieris brassicae L"""
10.1007/bf02093763,1922,Kammerer,Die Zeichnung von Salamandra maculosa im durchfallenden farbigen Licht,2,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02093764,1922,Przibram/Dembowski,Der Einfluß gelber und schwarzer Umgebung der Larve auf die Fleckenzeichnung des Vollmolches von Salamandra maculosa Laur. forma typica,5,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02093765,1922,Przibram / Brecher,Die Farbmodifikationen der Stabheuschrecke Dixippus morosus Br. et Redt,9,Layer 1,"Modern citation engages same genus (dixippus): ""Untersuchungen über den morphologischen und physiologischen Farbwechsel von Dixi"""
10.1007/bf02093767,1922,Kurz,Versuche über Polaritätsumkehr am Tritonenbein,11,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02093768,1922,Thomson,Notes on the regeneration of the fore-limb in various Genera of Mantidae,2,Layer 3,"Same phenomenon (Regeneration); different species and design. Citing: ""Regeneration und Transplantation bei Tieren"""
10.1007/bf02093769,1922,Przibram,Verpuppung kopfloser Raupen von Tagfaltern,7,Layer 2,"Same broader taxon (Lepidoptera); different species. Citing: ""Die Puppenfärbungen des Kohlweißlings, Pieris brassicae L"""
10.1007/bf02093770,1922,Brecher,"Die Puppenfärbungen der Vanessiden (Vanessa Io, V. urticae, Pyrameis cardui, P. atalanta)",14,Layer 1,"Modern citation engages same genus (vanessa): ""Hormonal control of pupal coloration in the painted lady butterfly Vanessa cardu"""
10.1007/bf02093771,1922,Kudo,"Veränderung der Melaninmenge beim Farbwechsel der Fische Esox, Carassius, Phoxinus; Gobius; Nemachilus",9,Layer 2,"Same broader taxon (Fishes); different species. Citing: ""On the Reappearance of Melanophores in Blind Goldfish"""
10.1007/bf02093772,1922,Przibram,Veröffentlichungen über quantitative Biologie 1916–1919 in englischer Sprache,2,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02108503,1923,Przibram,Die Methode autophorer Transplantation,7,Layer 3,"Same phenomenon (Regeneration); different species and design. Citing: ""Regeneration in The Vertebrate Central Nervous System"""
10.1007/bf02108504,1923,Koppanyi,Die Replantation von Augen,13,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""The origin and development of the chromatophores of the amphibian eye"""
10.1007/bf02108505,1923,Koppanyi,Die Replantation von Augen,3,Layer 3,"Same phenomenon (Regeneration); different species and design. Citing: ""Transplantation and Regeneration: their Bearing on Developmental Mechanics"""
10.1007/bf02108506,1923,Koppanyi,Die Replantation von Augen,7,Layer 3,"Same phenomenon (Regeneration); different species and design. Citing: ""Regeneration in The Vertebrate Central Nervous System"""
10.1007/bf02108507,1923,Koppanyi,Die Replantation von Augen,7,Layer 3,"Same phenomenon (Regeneration); different species and design. Citing: ""Regeneration in The Vertebrate Central Nervous System"""
10.1007/bf02108508,1923,Koppanyi,Die Replantation von Augen,4,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02108509,1923,Jellinek,Die Replantation von Augen,4,Layer 2,"Same broader taxon (Mammals); different species. Citing: ""Notes on the application of experimental methods upon mammalian embryos"""
10.1007/bf02108510,1923,Finkler,Kopftransplantation an Insekten,2,Layer 3,"Same phenomenon (Regeneration); different species and design. Citing: ""Regeneration und Transplantation bei Tieren"""
10.1007/bf02108511,1923,Finkler,Kopftransplantation an Insekten,1,Layer 3,"Same phenomenon (Transplantation / replantation); different species and design. Citing: ""Regeneration und Transplantation bei Tieren"""
10.1007/bf02108512,1923,Finkler,Kopftransplantation an Insekten,3,Layer 3,"Same phenomenon (Transplantation / replantation); different species and design. Citing: ""Embryonale Transplantation zwischen Urodelen und Anuren"""
10.1007/bf02108513,1923,Wiesner,Die Replantation der Kristallinse entwickelter Tiere,5,Layer 3,"Same phenomenon (Transplantation / replantation); different species and design. Citing: ""Mutual size regulation between eyeball and lens in Amblystoma, studied by means """
10.1007/bf02108514,1923,B. P. Wiesner,Die Funktionsfähigkeit autophor transplantierter Ovarien bei Ratten,4,Layer 2,"Same broader taxon (Mammals); different species. Citing: ""Studies on the oestrus‐producing hormone (oestrin)<sup>1</sup>"""
10.1007/bf02108515,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,21,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""Further experimental investigations on the phenomenon of homologous response in """
10.1007/bf02108516,1923,Weiss,Die Transplantation von entwickelten Extremitäten bei Amphibien,12,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""Über den Einfluss des Nervensystems auf die Entwicklung der Extremitäten von Ran"""
10.1007/bf02161597,1916,Steinach,Pubertätsdrüsen und Zwitterbildung,65,Layer 3,"Same phenomenon (Sex determination / sexual characters); different species and design. Citing: ""Gonad hormone functions, and the reciprocal influence between gonads and hypophy"""
10.1007/bf02162072,1909,Kammerer,Vererbung erzwungener Fortpflanzungsanpassungen,23,Layer 3,"Same phenomenon (Inheritance of acquired characteristics); different species and design. Citing: ""&amp;#8220;Centric&amp;#8221; and &amp;#8220;Excluding&amp;#8221; Conceptions of"""
10.1007/bf02162073,1909,Mayerhofer,Farbwechselversuche am Hechte (Esox lucius L.),15,Layer 1,"Modern citation engages same genus (esox): ""Veränderung der Melaninmenge beim Farbwechsel der Fische Esox, Carassius, Phoxin"""
10.1007/bf02162074,1909,Thomsen,"Aufzucht, Farbwechsel und Regeneration der Gottesanbeterinnen (Mantidae)",21,Layer 2,"Same broader taxon (Orthoptera / Mantis); different species. Citing: ""Wachstumsmessungen an Sphodromantis bioculata Burm"""
10.1007/bf02162075,1909,Secerov,Farbenwechselversuche an der Bartgrundel (Nemachilus barbatula L.),20,Layer 2,"Same broader taxon (Fishes); different species. Citing: ""Review of the Organismal Biology of Hill Stream Loaches"""
10.1007/bf02162076,1909,Werber/Goldschmidt,Regeneration des Schnabels bei der Hausgans (Anser cinereus) und bei der Hausente (Anas boschas),6,Layer 3,"Same phenomenon (Regeneration); different species and design. Citing: ""Ein Beitrag zur Physiologie der Regeneration"""
10.1007/bf02162077,1904,Kammerer,Beitrag zur Erkenntnis der Verwandtschaftsverhältnisse von Salamandra atra und maculosa,41,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""The oviparous olm: Analysis &amp; refutation of claims for viviparity in the cav"""
10.1007/bf02162145,1905,Biberhofer,Über Regeneration des dritten Maxillipedes beim Flußkrebs (Astacus fluviatilis),2,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02162146,1905,Cerny,Versuche Über Regeneration bei Süßwasserschnecken,3,Layer 2,"Same broader taxon (Mollusca); different species. Citing: ""Zur Regeneration des Weichkörpers bei den Gastropoden"""
10.1007/bf02162147,1905,Czwiklitzer,Zur Regeneration des Vorderendes von Ophryotrocha puerilis Clap.-Metsch,5,Layer 2,"Same broader taxon (Annelida); different species. Citing: ""Direct demonstration of the existence of a metabolic gradient in annelids"""
10.1007/bf02162148,1905,Kammerer,"Über die Abhängigkeit des Regenerationsvermögens der Amphibienlarven von Alter, Entwicklungsstadium und spezifischer Größe",25,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""Advances in Environmental Monitoring and Ecosystem Health: Suggestions for the P"""
10.1007/bf02162149,1905,Przibram,Die »Heterochelie« bei decapoden Crustaceen (zugleich: Experimentelle Studien Über Regeneration. Dritte Mitteilung),23,Layer 2,"Same broader taxon (Crustacea); different species. Citing: ""Morphological characterization and molecular phylogeny of Portunoidea Rafinesque"""
10.1007/bf02162150,1905,Isaak Werber,Regeneration der Kiefer bei der Eidechse Lacerta agilis,10,Layer 2,"Same broader taxon (Reptilia); different species. Citing: ""Regeneration in Reptiles Generally and the New Zealand Tuatara in Particular as """
10.1007/bf02162151,1905,Werber,Regeneration des exstirpierten Fühlers und Auges beim Mehlkäfer (Tenebrio molitor),8,Layer 1,"Modern citation engages same genus (tenebrio): ""Regeneration der exstirpierten Flügel beim Mehlkäfer (Tenebrio molitor)"""
10.1007/bf02162320,1906,Werber,Regeneration der Kiefer bei Reptilien und Amphibien,5,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""Regeneration of lower jaws in adult newts"""
10.1007/bf02162321,1906,Biberhofer,Über Regeneration bei Amphioxus Ianceolatus,3,Layer 3,"Same phenomenon (Regeneration); different species and design. Citing: ""Tail regeneration in a cephalochordate, the Bahamas lancelet, <scp> <i>Asymmetro"""
10.1007/bf02162322,1906,Bogacki,Experimentelle Flossenregeneration bei europäischen Süßwasserfischen,6,Layer 2,"Same broader taxon (Fishes); different species. Citing: ""Regeneration in Salaria pavo (Blenniidae, Teleostei)"""
10.1007/bf02162323,1906,Grosser/Przibram,Einige Mißbildungen beim Dornhai (Acanthias vulgaris Risso),7,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02162324,1906,Hadzi,Vorversuche zur Biologie von Hydra,18,Layer 1,"Modern citation engages same genus (hydra): ""Transmission of symbiotic algae through sexual reproduction in hydra: Movement o"""
10.1007/bf02162325,1906,Kammerer,Experimentelle Veränderung der Fortpflanzungstätigkeit bei Geburtshelferkröte (Alytes obstetricans) und Laubfrosch (Hyla arborea),26,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""Sapo partero común – Alytes obstetricans (Laurenti, 1768)"""
10.1007/bf02162326,1906,Megusar,Einfluß abnormaler Gravitationswirkung auf die Embryonalentwicklung bei Hydrophilus aterrimus Eschscholtz,2,Layer 2,"Same broader taxon (Coleoptera (beetles)); different species. Citing: ""The effects of centrifugal force upon the eggs of some chrysomelid beetles"""
10.1007/bf02162327,1906,Przibram,"Aufzucht, Farbwechsel und Regeneration einer ägyptischen Gottesanbeterin (Sphodromantis bioculata Burm.)",27,Layer 1,"Modern citation engages same genus (sphodromantis): ""Wachstumsmessungen an Sphodromantis bioculata Burm"""
10.1007/bf02162328,1906,Hans Przibram,Kristall-Analogien zur Entwicklungsmechanik der Organismen,15,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02189254,1917,Przibram,Wachstumsmessungen an Sphodromantis bioculata Burm,3,Layer 3,"Same phenomenon (Growth / size change); different species and design. Citing: ""Discussion on Growth and New Growth"""
10.1007/bf02189255,1917,K. Przibram,Über die ungeordnete Bewegung niederer Tiere. II,10,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02189256,1917,Hans Przibram,Temperaturquotienten für Lebenserscheinungen der Sphodromantis bioculata Burm,5,Layer 1,"Modern citation engages same genus (sphodromantis): ""Fühlerregeneration halberwachsener Sphodromantis-Larven"""
10.1007/bf02189257,1917,Hans Przibram,Die Umwelt des Keimplasmas,15,Layer 2,"Same broader taxon (Mammals); different species. Citing: ""Lability of tail length of the white-footed mouse, Peromyscus leucopus noveborac"""
10.1007/bf02189258,1917,Przibram,"Transitäre Scherenformen der Winkerkrabbe, Gelasimus pugnax Smith",8,Layer 2,"Same broader taxon (Crustacea); different species. Citing: ""Crustacea. Krebse"""
10.1007/bf02189259,1917,Przibram,Fühlerregeneration halberwachsener Sphodromantis-Larven,5,Layer 2,"Same broader taxon (Orthoptera / Mantis); different species. Citing: ""Central projections of a homoeotic regenerate, antennapedia, in a stick insect, """
10.1007/bf02189260,1917,Brecher,"Die Puppenfärbungen des Kohlweißlings, Pieris brassicae L.",22,Layer 2,"Same broader taxon (Lepidoptera); different species. Citing: ""Hormonal control of pupal coloration in the painted lady butterfly Vanessa cardu"""
10.1007/bf02189261,1917,Hans Przibram,Dr. Franz Megusar,3,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02254264,1925,Paul Weiß,Abhängigkeit der Regeneration entwickelter Amphibien-extremitäten vom Nervensystem,24,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""Morphological effects of denervation and amputation of limbs in urodele larvae"""
10.1007/bf02254265,1925,Weiss,Unabhängigkeit der Extremitätenregeneration vom Skelett (bei Triton cristatus),54,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""Cells keep a memory of their tissue origin during axolotl limb regeneration"""
10.1007/bf02254266,1925,Paul Weiß,Die seitliche Regeneration der Urodelenextremität,9,Layer 3,"Same phenomenon (Regeneration); different species and design. Citing: ""The regulative ability of the limb regeneration blastema ofNotophlhalmus virides"""
10.1007/bf02254267,1925,Weiss,Winkelmessungen am Schmetterlingsflügel,5,Layer 3,"Same phenomenon (Regeneration); different species and design. Citing: ""Die Regeneration der polycladen Turbellarien"""
10.1007/bf02254268,1925,Burt,"The head and foot of Pelmatohydra oligactis, pall., as unipotent systems",16,Layer 1,"Modern citation engages same genus (hydra): ""The foot formation stimulating peptide pedibin is also involved in patterning of"""
10.1007/bf02254269,1925,Hans Przibram,"Direkte Temperaturabhängigkeit der Schwanzlänge bei Ratten, Mus (Epimys) decumanus Pall. und M. (E.) rattus L.",6,Layer 2,"Same broader taxon (Mammals); different species. Citing: ""Temperature-dependent Developmental Plasticity and Its Effects on Allen’s and Be"""
10.1007/bf02254270,1925,Hans Przibram,"Die Schwanzlänge bei Ratten, Mus (Epimys) decumanus Pall. und M. (E.) rattus L., als fakultatives Geschlechtsmerkmal",1,Layer 2,"Same broader taxon (Mammals); different species. Citing: ""Die Körpertemperatur beim männlichen und weiblichen. beim kastrierten und femini"""
10.1007/bf02254271,1925,Przibram,"Die Schwanzlänge der Nachkommen temperaturmodifizierter Ratten, Mus (Epimys) decumanus Pall. und M. (E.) rattus L.",2,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02254272,1925,Przibram,Das Anwachsen der relativen Schwanzlänge und dessen Temperaturquotient bei den Ratten Mus (Epimys) decumanus Pall. und M. (Ep.) rattus L.,1,Layer 2,"Same broader taxon (Mammals); different species. Citing: ""Das Wachstum der weissen Ratte bis zur Geschlechtsreife bei Fleisch-, Pflanzen- """
10.1007/bf02254273,1925,Sato / Brecher,Kann Dopa oder Tyrosin das Chromogen bei Wirbeltieren abgeben?,7,Layer 3,"Same phenomenon (Pigmentation / melanin biology); different species and design. Citing: ""Das Pigment"""
10.1007/bf02254274,1925,Brecher / Winkler,Übereinstimmung positiver und negativer Dopareaktiönen an Gefrierschnitten mit jenen an Extrakten,5,Layer 3,"Same phenomenon (Pigmentation / melanin biology); different species and design. Citing: ""Das Pigment"""
10.1007/bf02254275,1925,Sciacchitano,Quando si forma la Dopa nei bozzoli di Lophyrus Pini L.,5,Layer 1,"Modern citation engages same genus (lophyrus): ""Beiträge zur Kenntnis der Morphologie, Anatomie und Biologie von Lophyrus pini L"""
10.1007/bf02254276,1925,Abolin,Beeinflussung des Fischfarbwechsels durch Chemikalien,32,Layer 2,"Same broader taxon (Fishes); different species. Citing: ""The development of the secondary sexual characters in the pink salmon (Oncorhync"""
