bva_id,bva_doi,bva_year,bva_author,bva_title,bva_organism,citing_doi,citing_year,citing_author,citing_title,citing_topic,species_match,historiographic,type
1,10.1007/bf00580386,1930,Abolins (Riga),Die Regeneration der am Fibularrande verstümmelten Beine bei Triton cristatus Laur,Triton cristatus,10.1002/jmor.1050980104,1956,Richard J. Goss,The relation of bone to the histogenesis of cartilage in regenerating forelimbs and tails of adult Triturus viridescens,Silkworms and Sericulture Research,same_genus_modern,False,article
1,10.1007/bf00580386,1930,Abolins (Riga),Die Regeneration der am Fibularrande verstümmelten Beine bei Triton cristatus Laur,Triton cristatus,10.1002/jez.1401450106,1960,Alvin F. Rieck,Reconstitution of bone in regenerating forelimbs of adult <i>Triturus viridescens</i>,Fish Ecology and Management Studies,same_genus_modern,False,article
1,10.1007/bf00580386,1930,Abolins (Riga),Die Regeneration der am Fibularrande verstümmelten Beine bei Triton cristatus Laur,Triton cristatus,10.1007/bf00580391,1930,Iginio Sciacchitano,Die Regeneration der am Tibialrande oder median verst�mmelten Beine bei Triton cristatus Laur. und eine Heteromorphose des langen Knochens nach Ausschneidung des Fibularrandes,Silk-based biomaterials and applications,same_species,False,article
2,10.1007/bf00580387,1930,Burchhardt,Regeneration und Symmetrie durch den Urodelenk�rper esteckter Gliedmassen,Triton,10.1016/b978-1-4831-9948-1.50007-3,1961,R. J. Goss,Regeneration of Vertebrate Appendages,Bone fractures and treatments,phenomenon_only,False,book-chapter
2,10.1007/bf00580387,1930,Burchhardt,Regeneration und Symmetrie durch den Urodelenk�rper esteckter Gliedmassen,Triton,10.1007/bf00580391,1930,Iginio Sciacchitano,Die Regeneration der am Tibialrande oder median verst�mmelten Beine bei Triton cristatus Laur. und eine Heteromorphose des langen Knochens nach Ausschneidung des Fibularrandes,Silk-based biomaterials and applications,same_genus,False,article
3,10.1007/bf00580388,1930,Flat-Hauser Przibram,Regeneration der langen Knochen nach teilweiser Entfernung im Innern der Molchextremit�ten (Triton cristatus Laur.),Triton cristatus,10.1002/jmor.1050980104,1956,Richard J. Goss,The relation of bone to the histogenesis of cartilage in regenerating forelimbs and tails of adult Triturus viridescens,Silkworms and Sericulture Research,same_genus_modern,False,article
3,10.1007/bf00580388,1930,Flat-Hauser Przibram,Regeneration der langen Knochen nach teilweiser Entfernung im Innern der Molchextremit�ten (Triton cristatus Laur.),Triton cristatus,10.1002/jez.1401450106,1960,Alvin F. Rieck,Reconstitution of bone in regenerating forelimbs of adult <i>Triturus viridescens</i>,Fish Ecology and Management Studies,same_genus_modern,False,article
3,10.1007/bf00580388,1930,Flat-Hauser Przibram,Regeneration der langen Knochen nach teilweiser Entfernung im Innern der Molchextremit�ten (Triton cristatus Laur.),Triton cristatus,10.1016/b978-1-4831-9948-1.50007-3,1961,R. J. Goss,Regeneration of Vertebrate Appendages,Bone fractures and treatments,phenomenon_only,False,book-chapter
3,10.1007/bf00580388,1930,Flat-Hauser Przibram,Regeneration der langen Knochen nach teilweiser Entfernung im Innern der Molchextremit�ten (Triton cristatus Laur.),Triton cristatus,10.1007/bf00580386,1930,Leo Abolinš,Die Regeneration der am Fibularrande verstümmelten Beine bei Triton cristatus Laur,Tree Root and Stability Studies,same_species,False,article
3,10.1007/bf00580388,1930,Flat-Hauser Przibram,Regeneration der langen Knochen nach teilweiser Entfernung im Innern der Molchextremit�ten (Triton cristatus Laur.),Triton cristatus,10.1007/bf00580387,1930,Henny Burchardt,Regeneration und Symmetrie durch den Urodelenk�rper esteckter Gliedmassen,Urological Disorders and Treatments,related_taxon,False,article
