id,doi,year,author,title,organism,phenomena,cited_by_count,n_citations,n_sci_citations,n_historiographic,n_same_organism_citations,n_parallels,n_parallel_same_organism,n_parallel_same_organism_uncited,parallels_total_estimate,convergence_axis,top_parallel_dois,rediscovery_verified,layer
1,10.1007/bf00580386,1930,Abolins (Riga),Die Regeneration der am Fibularrande verstümmelten Beine bei Triton cristatus Laur,Triton cristatus,"regeneration, morphology",3,3,3,0,3,49,24,24,622,C2 – Same genus active (modern name),10.1007/s12038-019-9950-y; 10.33256/hj29.2.8294; 10.13128/ijae-25468; 10.1016/j.ympev.2018.12.032; 10.2174/157016461204160119164729,,Layer 1
2,10.1007/bf00580387,1930,Burchhardt,Regeneration und Symmetrie durch den Urodelenk�rper esteckter Gliedmassen,Triton,regeneration,2,2,2,0,1,49,24,24,622,C2 – Same genus active (modern name),10.1007/s12038-019-9950-y; 10.33256/hj29.2.8294; 10.13128/ijae-25468; 10.1016/j.ympev.2018.12.032; 10.2174/157016461204160119164729,,Layer 1
3,10.1007/bf00580388,1930,Flat-Hauser Przibram,Regeneration der langen Knochen nach teilweiser Entfernung im Innern der Molchextremit�ten (Triton cristatus Laur.),Triton cristatus,"regeneration, growth",5,5,5,0,3,49,24,24,622,C2 – Same genus active (modern name),10.1007/s12038-019-9950-y; 10.33256/hj29.2.8294; 10.13128/ijae-25468; 10.1016/j.ympev.2018.12.032; 10.2174/157016461204160119164729,,Layer 1
4,10.1007/bf00580389,1930,Przibram,"Wachstumsmessungen an Tenodera aridifolia Stoll., einer japanischen Fangheuschrecke",Tenodera aridifolia,growth,7,7,7,0,0,29,9,9,132,C1 – Same species active,10.1371/journal.pone.0098324; 10.1371/journal.pone.0067817; 10.1093/gigascience/giad090; 10.1371/journal.pcbi.1009618; 10.1155/2019/6180236,YES,Layer 4
5,10.1007/bf00580390,1930,Przibram Brecher,Wachstumsmessungen an Sphodromantis bioculata Burm. IV. Zunahme der Facettengr�sse und -Anzahl.,Sphodromantis bioculata,growth,5,5,5,0,1,24,2,2,33,C2 – Same genus active,10.1186/s13568-025-01908-3; 10.3897/jor.32.96183,,Layer 2
6,10.1007/bf00580391,1930,"Sciacchitano, Weiss, Przibram",Die Regeneration der am Tibialrande oder median verst�mmelten Beine bei Triton cristatus Laur. und eine Heteromorphose des langen Knochens nach Ausschneidung des Fibularrandes,Triton cristatus,"regeneration, growth",1,1,1,0,0,49,24,24,622,C2 – Same genus active (modern name),10.1007/s12038-019-9950-y; 10.33256/hj29.2.8294; 10.13128/ijae-25468; 10.1016/j.ympev.2018.12.032; 10.2174/157016461204160119164729,YES,Layer 3
7,10.1007/bf00580392,1930,Staudinger,Heteromorphosen an Stigmen und anderen Gebilden bei Carausius (Dixippus) morosus Brunner,Carausius,"regeneration, heteromorphosis",1,1,1,0,1,16,4,4,67,C2 – Same genus active,10.1002/jmor.10770; 10.1002/jmor.10685; 10.1016/0040-8166(91)90065-2; 10.1016/1359-0189(90)90197-6,,Layer 2
8,10.1007/bf00580393,1930,Weiss,Potenzpr�fung am Regenerationsblastem.,Lacerta,"regeneration, transplantation",13,13,13,0,0,28,17,17,467,C2 – Same genus active,10.1002/ece3.9407; 10.1007/s00427-019-00635-7; 10.1093/gigascience/giy160; 10.18500/1814-6090-2017-17-1-2-3-9; 10.4067/s0717-95022016000200005,YES,Layer 2
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,,34,34,34,0,5,50,49,49,5341,C2 – Same genus active (modern name),10.1016/j.ympev.2018.12.032; 10.1002/ece3.4013; 10.1016/j.biocon.2014.11.029; 10.1111/bij.12358; 10.1186/1742-9994-10-13,,Layer 4
10,10.1007/bf02079102,1927,Weiss,Die Herkunft der Haut im Extremitätenregenerat,Birds,"regeneration, transplantation",16,16,16,0,0,30,0,0,65586,C3 – Related taxon active,,,Layer 3
